query,attribute_candidate_ids,semantic_candidate_ids,relevant_product_ids
black shirt,31660,31660;4359;33080;40954;43500;4752;44894;4804;30618;31242,
red kurta,43270;23323;22766;19105;42672;30845;21919;28908,23323;43270;42672;19105;22766;21919;28908;30845;40954;25926,
pink top,11369;32592,32592;21426;11369;38798;17608;20247;25926;1752;12785;41301,
white tshirt,33080;43500;31242;27356,43500;27356;33080;31242;4804;10878;4752;35983;1991;1752,
red sweater,20216;20228;19528,20228;20216;19528;25926;1617;4804;10878;39113;4752;2024,
maroon tshirt,20668,20668;4804;4752;40954;27356;33080;10878;25926;30618;4359,
men shirt,22398;16332;12304;31660;18305;22372,31660;43500;30618;33080;4752;2024;27356;4804;10878;44894,
women top,11369;11033;10336;32592;20247,32592;20247;11033;1991;25926;10336;21426;11369;20228;35983,
men tshirt,1617;33080;1752;20668;43500;44894;16439;4804;4359;10878,43500;2024;10878;27356;4804;4752;1617;44894;1752;16439,
women tshirt,25926;3903;35983;21426;45960;17608;1991,1991;35983;25926;45960;21426;17608;2024;4804;4752;43500,
men sweater,20216;19528,20216;19528;20228;2024;43500;30618;10878;4752;1752;31660,
women kurta,43270;23323;22766;19105;42672;30845;21919;28908,23323;43270;42672;19105;22766;30845;21919;28908;20247;25926,
men striped shirt,22398;16332;12304;18305;22372,20668;22398;22372;18305;31660;12304;16332;43500;27356;30618,
printed men's shirt,31660,31660;33080;30618;39113;16439;43500;22372;27356;22398;1617,
women checked top,11033,11033;32592;12785;20247;25926;1991;35983;10336;21426;11369,
solid men's sweater,19528,20216;19528;1752;20228;1578;44894;4804;1617;4359;2024,
striped tshirt for men,20668,43500;20668;4804;2024;10878;1752;27356;44894;1617;16439,
printed tshirt,33080;16439;39113;30618,33080;30618;16439;39113;31660;43500;35983;4359;1752;4804,
women red top under 1000,11033,11033;32592;25926;20228;45960;11369;35983;20247;43270;42672,
men black shirt under 1000,31660,31660;27356;4359;43500;31242;33080;2024;1752;4752;44894,
red kurta under 1000,23323;30845;21919,23323;43270;42672;19105;22766;21919;28908;30845;1752;40954,
pink women top under 2000,11369;32592,32592;21426;20247;11369;11033;17608;25926;1991;45960;12785,
men striped tshirt under 1000,20668,27356;43500;1752;20668;2024;16439;31242;4804;31660;10878,
women red tshirt under 1500,25926;35983;45960,25926;35983;45960;2024;16439;10878;1991;4752;20228;1617,
something red for women,43270;25926;23323;11033;22766;20228;19105;35983;42672;45960,20228;25926;45960;35983;4804;23323;43270;10878;20216;4752,
pink women's clothing,11369;21426;32592;12785;17608,32592;21426;25926;17608;12785;11369;1991;38798;45960;35983,
striped clothing for men,22398;20668;16332;12304;18305;22372,22372;12304;20668;16332;31660;18305;22398;43500;10336;20247,
warm sweater,20216;20228;19528,20216;20228;19528;1578;1617;4359;39113;2024;1752;4804,
something black for men,4359;31660,4359;31660;10336;31242;44894;1617;1578;4804;20216;38798,
red clothing for women,43270;25926;23323;11033;22766;20228;19105;35983;42672;45960,25926;20228;45960;2024;4804;4752;35983;10878;44894;1617,
