query,candidate_products,relevant_product_ids
black shirt,"31660: Indigo Nation Men Printed Black Shirt | category=shirt | colour=black | gender=men | pattern=printed | price=799
4359: Free Authority Men's Melting Records Black T-shirt | category=tshirt | colour=black | gender=men | pattern=nan | price=1299
33080: U.S. Polo Assn. Denim Co. Men Printed Cream T-Shirt | category=tshirt | colour=white | gender=men | pattern=printed | price=1299
40954: Gini and Jony Boys Rodeo Red T-shirt | category=tshirt | colour=red | gender=men | pattern=nan | price=799
43500: French Connection Men White T-shirt | category=tshirt | colour=white | gender=men | pattern=nan | price=1799
4752: ADIDAS Men's Red Polo T-shirt | category=tshirt | colour=red | gender=men | pattern=nan | price=1399
44894: Puma Men Red T-shirts | category=tshirt | colour=red | gender=men | pattern=nan | price=499
4804: ADIDAS Men's Coffer Red T-shirt | category=tshirt | colour=red | gender=men | pattern=nan | price=499
30618: Nike Men Printed Red T-shirt | category=tshirt | colour=red | gender=men | pattern=printed | price=599
31242: Puma Men Attack White T-shirt | category=tshirt | colour=white | gender=men | pattern=nan | price=799",
red kurta,"43270: Aneri Women Red Kurta | category=kurta | colour=red | gender=women | pattern=nan | price=1199
23323: W Women Red Kurta | category=kurta | colour=red | gender=women | pattern=nan | price=699
22766: BIBA Women Solid Red Kurta | category=kurta | colour=red | gender=women | pattern=solid | price=1799
19105: Mother Earth Women Printed Red Kurta | category=kurta | colour=red | gender=women | pattern=printed | price=1899
42672: Alma Women Red Printed Kurta | category=kurta | colour=red | gender=women | pattern=printed | price=1099
30845: Fabindia Women Rust Printed Kurta | category=kurta | colour=red | gender=women | pattern=printed | price=699
21919: BIBA Women Printed Red Kurta | category=kurta | colour=red | gender=women | pattern=printed | price=699
28908: BIBA Women Printed Red Kurta | category=kurta | colour=red | gender=women | pattern=printed | price=1399
40954: Gini and Jony Boys Rodeo Red T-shirt | category=tshirt | colour=red | gender=men | pattern=nan | price=799
25926: Femella Women Red T-shirt | category=tshirt | colour=red | gender=women | pattern=nan | price=599",
pink top,"11369: United Colors Of Benetton Women Light Winter Pink Tops | category=top | colour=pink | gender=women | pattern=nan | price=799
32592: ONLY Women Pink Top | category=top | colour=pink | gender=women | pattern=nan | price=1499
21426: Roxy Women Pink T-shirt | category=tshirt | colour=pink | gender=women | pattern=nan | price=1799
38798: Free Authority Men Pink T-shirt | category=tshirt | colour=pink | gender=men | pattern=nan | price=599
17608: Doodle Sporty Girl dark Pink Tshirts | category=tshirt | colour=pink | gender=women | pattern=nan | price=1199
20247: Wrangler Women Striped Purple Top | category=top | colour=magenta | gender=women | pattern=striped | price=1699
25926: Femella Women Red T-shirt | category=tshirt | colour=red | gender=women | pattern=nan | price=599
1752: Lotto Men Red Epic T-shirt | category=tshirt | colour=red | gender=men | pattern=nan | price=1199
12785: Mother Earth Women Checks Pink Shirts | category=shirt | colour=pink | gender=women | pattern=checked | price=1299
41301: Gini and Jony Grils Polo Striped Pink T-shirt | category=tshirt | colour=pink | gender=nan | pattern=striped | price=1599",
white tshirt,"33080: U.S. Polo Assn. Denim Co. Men Printed Cream T-Shirt | category=tshirt | colour=white | gender=men | pattern=printed | price=1299
43500: French Connection Men White T-shirt | category=tshirt | colour=white | gender=men | pattern=nan | price=1799
31242: Puma Men Attack White T-shirt | category=tshirt | colour=white | gender=men | pattern=nan | price=799
27356: Tantra Men 50 Bubbles White T-shirt | category=tshirt | colour=white | gender=men | pattern=nan | price=1599
4804: ADIDAS Men's Coffer Red T-shirt | category=tshirt | colour=red | gender=men | pattern=nan | price=499
10878: Wrangler Men Red Polo Tshirts | category=tshirt | colour=red | gender=men | pattern=nan | price=899
4752: ADIDAS Men's Red Polo T-shirt | category=tshirt | colour=red | gender=men | pattern=nan | price=1399
35983: Flying Machine Women Poopy Red T-shirt | category=tshirt | colour=red | gender=women | pattern=nan | price=1299
1991: ADIDAS Womens Blue  Polo T-shirt | category=tshirt | colour=blue | gender=women | pattern=nan | price=799
1752: Lotto Men Red Epic T-shirt | category=tshirt | colour=red | gender=men | pattern=nan | price=1199",
red sweater,"20216: Wrangler Men Rib Red Sweater | category=sweater | colour=red | gender=men | pattern=nan | price=899
20228: Wrangler Women Cable Red Sweater | category=sweater | colour=red | gender=women | pattern=nan | price=1199
19528: United Colors of Benetton Men Solid Red Sweater | category=sweater | colour=red | gender=men | pattern=solid | price=1899
25926: Femella Women Red T-shirt | category=tshirt | colour=red | gender=women | pattern=nan | price=599
1617: Reebok Men Shoot T-Shirt Red | category=tshirt | colour=red | gender=men | pattern=nan | price=799
4804: ADIDAS Men's Coffer Red T-shirt | category=tshirt | colour=red | gender=men | pattern=nan | price=499
10878: Wrangler Men Red Polo Tshirts | category=tshirt | colour=red | gender=men | pattern=nan | price=899
