query,relevant_product_ids
black shirt,31660
red kurta,43270;23323;22766;19105;42672;30845;21919;28908
pink top,11369;32592
white tshirt,33080;43500;31242;27356
red sweater,20216;20228;19528
maroon tshirt,20668
men shirt,22398;16332;12304;31660;18305;22372
women top,11369;11033;10336;32592;20247
men tshirt,1617;33080;1752;20668;43500;44894;16439;4804;4359;10878;31242;40954;27356;39113;30618;4752;1578;38798;2024
women tshirt,25926;3903;35983;21426;45960;17608;1991
men sweater,20216;19528
women kurta,43270;23323;22766;19105;42672;30845;21919;28908
men striped shirt,22398;16332;12304;18305;22372
printed men's shirt,31660
women checked top,11033
solid men's sweater,19528
striped tshirt for men,20668
printed tshirt,33080;16439;39113;30618
women red top under 1000,11033
men black shirt under 1000,31660
red kurta under 1000,23323;30845;21919
pink women top under 2000,11369;32592
men striped tshirt under 1000,20668
women red tshirt under 1500,25926;35983;45960
something red for women,43270;25926;23323;11033;22766;20228;19105;35983;42672;45960;30845;21919;28908
pink women's clothing,11369;21426;32592;12785;17608
striped clothing for men,22398;20668;16332;12304;18305;22372
warm sweater,20216;20228;19528
something black for men,4359;31660
red clothing for women,43270;25926;23323;11033;22766;20228;19105;35983;42672;45960;30845;21919;28908
