product_id,product_name,description,brand,gender,category,subcategory,colour_raw,colour_normalized,price,material,fit,pattern,sleeve,occasion,season,size,rating,image_path
1617,Reebok Men Shoot T-Shirt Red,Reebok Men Shoot T-Shirt Red. for men. category tshirt. colour red,VYRA,men,tshirt,,Red,red,799,,,,,,,,,images/1617.jpg
22398,Mark Taylor Men Striped White Shirt,Mark Taylor Men Striped White Shirt. for men. category shirt. colour white. striped pattern,VYRA,men,shirt,,White,white,499,,,striped,,,,,,images/22398.jpg
33080,U.S. Polo Assn. Denim Co. Men Printed Cream T-Shirt,U.S. Polo Assn. Denim Co. Men Printed Cream T-Shirt. for men. category tshirt. colour white. printed pattern,VYRA,men,tshirt,,White,white,1299,,,printed,,,,,,images/33080.jpg
43270,Aneri Women Red Kurta,Aneri Women Red Kurta. for women. category kurta. colour red,VYRA,women,kurta,,Red,red,1199,,,,,,,,,images/43270.jpg
1752,Lotto Men Red Epic T-shirt,Lotto Men Red Epic T-shirt. for men. category tshirt. colour red,VYRA,men,tshirt,,Red,red,1199,,,,,,,,,images/1752.jpg
20216,Wrangler Men Rib Red Sweater,Wrangler Men Rib Red Sweater. for men. category sweater. colour red,VYRA,men,sweater,,Red,red,899,,,,,,,,,images/20216.jpg
11369,United Colors Of Benetton Women Light Winter Pink Tops,United Colors Of Benetton Women Light Winter Pink Tops. for women. category top. colour pink,VYRA,women,top,,Pink,pink,799,,,,,,,,,images/11369.jpg
20668,Classic Polo Men Striped Maroon Tshirt,Classic Polo Men Striped Maroon Tshirt. for men. category tshirt. colour maroon. striped pattern,VYRA,men,tshirt,,Maroon,maroon,699,,,striped,,,,,,images/20668.jpg
43500,French Connection Men White T-shirt,French Connection Men White T-shirt. for men. category tshirt. colour white,VYRA,men,tshirt,,White,white,1799,,,,,,,,,images/43500.jpg
25926,Femella Women Red T-shirt,Femella Women Red T-shirt. for women. category tshirt. colour red,VYRA,women,tshirt,,Red,red,599,,,,,,,,,images/25926.jpg
44894,Puma Men Red T-shirts,Puma Men Red T-shirts. for men. category tshirt. colour red,VYRA,men,tshirt,,Red,red,499,,,,,,,,,images/44894.jpg
23323,W Women Red Kurta,W Women Red Kurta. for women. category kurta. colour red,VYRA,women,kurta,,Red,red,699,,,,,,,,,images/23323.jpg
3903,Disney Kids Girl's Minnie And Daisy Yellow Kidswear,Disney Kids Girl's Minnie And Daisy Yellow Kidswear. for women. category tshirt. colour yellow,VYRA,women,tshirt,,Yellow,yellow,1099,,,,,,,,,images/3903.jpg
16439,Levi's Men Printed Red Tshirts,Levi's Men Printed Red Tshirts. for men. category tshirt. colour red. printed pattern,VYRA,men,tshirt,,Red,red,1199,,,printed,,,,,,images/16439.jpg
