product_id,product_name,category,listed_colour,price,image_path,demo_group
1617,Reebok Men Shoot T-Shirt Red,Tshirts,Red,799,images/1617.jpg,red tops
22398,Mark Taylor Men Striped White Shirt,Shirts,White,499,images/22398.jpg,non-red tops
33080,U.S. Polo Assn. Denim Co. Men Printed Cream T-Shirt,Tshirts,White,1299,images/33080.jpg,non-red tops
43270,Aneri Women Red Kurta,Kurtas,Red,1199,images/43270.jpg,red wrong-category products
1752,Lotto Men Red Epic T-shirt,Tshirts,Red,1199,images/1752.jpg,red tops
20216,Wrangler Men Rib Red Sweater,Sweaters,Red,899,images/20216.jpg,red wrong-category products
11369,United Colors Of Benetton Women Light Winter Pink Tops,Tops,Pink,799,images/11369.jpg,similar-colour tops
20668,Classic Polo Men Striped Maroon Tshirt,Tshirts,Maroon,699,images/20668.jpg,similar-colour tops
43500,French Connection Men White T-shirt,Tshirts,White,1799,images/43500.jpg,non-red tops
25926,Femella Women Red T-shirt,Tshirts,Red,599,images/25926.jpg,red tops
44894,Puma Men Red T-shirts,Tshirts,Red,499,images/44894.jpg,red tops
23323,W Women Red Kurta,Tops,Red,699,images/23323.jpg,red tops
3903,Disney Kids Girl's Minnie And Daisy Yellow Kidswear,Tshirts,Yellow,1099,images/3903.jpg,non-red tops
16439,Levi's Men Printed Red Tshirts,Tshirts,Red,1199,images/16439.jpg,red tops
11033,Jealous 21 Women Check Red Tops,Tops,Red,499,images/11033.jpg,red tops
16332,Peter England Men Stripes Red Shirt,Shirts,Red,1099,images/16332.jpg,red tops
22766,BIBA Women Solid Red Kurta,Kurtas,Red,1799,images/22766.jpg,red wrong-category products
20228,Wrangler Women Cable Red Sweater,Sweaters,Red,1199,images/20228.jpg,red wrong-category products
19105,Mother Earth Women Printed Red Kurta,Kurtas,Red,1899,images/19105.jpg,red wrong-category products
35983,Flying Machine Women Poopy Red T-shirt,Tshirts,Red,1299,images/35983.jpg,red tops
4804,ADIDAS Men's Coffer Red T-shirt,Tshirts,Red,499,images/4804.jpg,red tops
12304,Genesis Men Stripes Red Shirts,Shirts,Red,999,images/12304.jpg,red tops
21426,Roxy Women Pink T-shirt,Tshirts,Pink,1799,images/21426.jpg,similar-colour tops
10336,United Colors of Benetton Women Stripes Black Tops,Tops,Black,1499,images/10336.jpg,non-red tops
4359,Free Authority Men's Melting Records Black T-shirt,Tshirts,Black,1299,images/4359.jpg,non-red tops
10878,Wrangler Men Red Polo Tshirts,Tshirts,Red,899,images/10878.jpg,red tops
42672,Alma Women Red Printed Kurta,Kurtas,Red,1099,images/42672.jpg,red wrong-category products
32592,ONLY Women Pink Top,Tops,Pink,1499,images/32592.jpg,similar-colour tops
31242,Puma Men Attack White T-shirt,Tshirts,White,799,images/31242.jpg,non-red tops
45960,Tokyo Talkies Women Red T-shirt,Tshirts,Red,699,images/45960.jpg,red tops
20247,Wrangler Women Striped Purple Top,Tops,Magenta,1699,images/20247.jpg,similar-colour tops
40954,Gini and Jony Boys Rodeo Red T-shirt,Tshirts,Red,799,images/40954.jpg,red tops
27356,Tantra Men 50 Bubbles White T-shirt,Tshirts,White,1599,images/27356.jpg,non-red tops
39113,Angry Birds Men Red Printed T-shirt,Tshirts,Red,1599,images/39113.jpg,red tops
12785,Mother Earth Women Checks Pink Shirts,Tops,Pink,1299,images/12785.jpg,similar-colour tops
30618,Nike Men Printed Red T-shirt,Tshirts,Red,599,images/30618.jpg,red tops
19528,United Colors of Benetton Men Solid Red Sweater,Sweaters,Red,1899,images/19528.jpg,red wrong-category products
31660,Indigo Nation Men Printed Black Shirt,Shirts,Black,799,images/31660.jpg,non-red tops
18305,Wills Lifestyle Men Striped Pink Shirt,Shirts,Pink,1699,images/18305.jpg,similar-colour tops
30845,Fabindia Women Rust Printed Kurta,Kurtas,Red,699,images/30845.jpg,red wrong-category products
4752,ADIDAS Men's Red Polo T-shirt,Tshirts,Red,1399,images/4752.jpg,red tops
41301,Gini and Jony Grils Polo Striped Pink T-shirt,Tshirts,Pink,1599,images/41301.jpg,similar-colour tops
1578,Domyos Men Good Stroke Red T-shirt,Tshirts,Red,1099,images/1578.jpg,red tops
21919,BIBA Women Printed Red Kurta,Kurtas,Red,699,images/21919.jpg,red wrong-category products
38798,Free Authority Men Pink T-shirt,Tshirts,Pink,599,images/38798.jpg,similar-colour tops
22372,Mark Taylor Men White Striped Red Shirt,Shirts,Red,1199,images/22372.jpg,red tops
28908,BIBA Women Printed Red Kurta,Kurtas,Red,1399,images/28908.jpg,red wrong-category products
2024,ADIDAS Mens Fitted Red T-shirt,Tshirts,Red,699,images/2024.jpg,red tops
17608,Doodle Sporty Girl dark Pink Tshirts,Tshirts,Pink,1199,images/17608.jpg,similar-colour tops
1991,ADIDAS Womens Blue  Polo T-shirt,Tshirts,Blue,799,images/1991.jpg,non-red tops
